	FT01DA	FT02DA	FT04DA	MN01DA	MN02DA	MN03DA	CRV01DA	CRV02DA	CRV03DA	CRV04DA
Gm28411|Gm28411	119	0	0	0	0	0	0	0	0	0
Gm39648|Gm39648	0	0	0	0	0	0	0	234	0	0
Gm33833|Gm33833	0	0	0	0	0	0	0	0	0	0
Nop58|Nop58	1844	2213	1257	2107	3000	2042	3104	1716	1918	1792
Snord70|Snord70	0	0	0	0	6	3	0	3	4	3
Snord11|Snord11	5	0	0	16	0	0	0	6	0	2
Sumo1|Sumo1	3000	2371	2321	3293	2743	2471	2726	2273	2834	2121
Bmpr2|Bmpr2	10218	10533	8328	13634	7405	14389	6889	12066	12552	5948
Fam117b|Fam117b	948	464	338	3489	1108	780	528	1263	1891	714
Ica1l|Ica1l	401	743	687	998	314	588	643	421	576	739
Wdr12|Wdr12	4448	3698	3170	6623	4001	3049	4355	3556	4362	3793
Carf|Carf	1456	1671	2113	5755	1818	1691	3711	3757	2522	2784
Cyp20a1|Cyp20a1	320	654	1456	1636	556	1457	1427	2911	2265	1544
Nbeal1|Nbeal1	13649	13063	8643	10568	9413	5116	18071	9358	10384	14559
Gm11578|Gm11578	0	0	8	8	7	4	2	6	6	0
Gm38388|Gm38388	0	226	0	0	0	0	204	0	0	0
Nrp2|Nrp2	5034	3189	5892	6805	3179	5083	2274	6111	7506	3723
Gm29083|Gm29083	20	90	192	0	0	185	230	226	202	154
4930487H11Rik|4930487H11Rik	182	83	90	317	25	0	102	45	89	0
Abi2|Abi2	9793	5404	7895	7477	3386	6221	6898	9235	8674	6070
Raph1|Raph1	4626	4408	5461	3085	4072	3215	3142	2785	4416	2971
LOC102637269|LOC102637269	350	207	156	17	341	77	182	150	145	96
Pard3b|Pard3b	321	481	849	409	866	512	564	615	344	188
Pard3bos1|Pard3bos1	0	70	237	0	6	323	126	399	228	87
Pard3bos2|Pard3bos2	0	97	45	0	0	297	0	0	0	0
Gm34881|Gm34881	0	0	14	14	0	0	9	17	5	8
Gpr1|Gpr1	595	0	388	64	333	186	108	198	560	133
Zdbf2|Zdbf2	4247	3078	3692	4787	3867	3640	2305	2317	4489	1519
1700039I01Rik|1700039I01Rik	0	0	0	0	0	0	0	36	4	0
Gm11608|Gm11608	0	0	0	0	0	0	0	23	0	0
Ino80d|Ino80d	3274	1576	3020	4062	3660	994	4140	2017	2233	1801
Ndufs1|Ndufs1	5337	2075	2158	2137	3135	3585	3292	4521	3328	3864
Ino80dos|Ino80dos	498	942	324	807	566	595	785	368	656	405
Eef1b2|Eef1b2	5130	1497	3314	3160	3546	4633	2799	3297	2321	2266
Snora41|Snora41	41	19	0	40	80	60	34	20	17	45
Adam23|Adam23	15051	8910	10009	14241	5948	12262	10543	15040	15643	7642
Fastkd2|Fastkd2	1459	1134	404	2177	837	1319	1823	1778	1504	1699
Klf7|Klf7	3225	2692	2960	4338	3186	3913	3278	2955	2790	2562
Gm35880|Gm35880	15	0	5	0	0	0	0	6	3	12
Mir6899|Mir6899	3	0	6	0	0	1	3	0	1	0
2810408I11Rik|2810408I11Rik	35	0	58	52	0	0	18	0	0	0
Mettl21a|Mettl21a	2797	2442	1192	1674	1148	1744	2165	3604	2614	1849
Ccnyl1|Ccnyl1	332	0	33	424	387	1028	10	30	233	706
Creb1|Creb1	4256	3202	2306	2463	1594	1362	2966	2866	2817	1868
D630023F18Rik|D630023F18Rik	98	66	243	152	202	199	311	59	155	233
Gm36358|Gm36358	111	44	38	0	60	268	370	98	210	58
Plekhm3|Plekhm3	4319	4030	5070	3009	1584	2905	2380	3444	4795	2561
Idh1|Idh1	1630	1002	1027	449	1174	1847	1810	1556	2037	1404
Pikfyve|Pikfyve	425	1379	696	868	1096	2924	1752	948	1696	2518
Map2|Map2	18607	10657	17638	25638	13663	16288	11615	15238	18110	11063
Unc80|Unc80	14373	12284	10683	6372	10351	10921	12729	11284	15895	13024
Gm39655|Gm39655	13	0	0	0	0	0	0	0	5	6
Rpe|Rpe	1758	251	1602	1412	306	738	1481	2138	1294	2288
Kansl1l|Kansl1l	3991	3136	2278	3124	3071	1398	2417	2561	3384	4956
Myl1|Myl1	0	0	0	0	0	0	14	41	5	0
LOC108167626|LOC108167626	1461	2759	2441	1252	2356	1588	3481	2109	1864	2197
Gm39656|Gm39656	1346	503	488	69	453	460	242	609	981	1335
Acadl|Acadl	334	33	491	522	654	536	473	716	584	800
Gm39658|Gm39658	0	0	0	0	0	0	11	0	0	0
Cps1|Cps1	0	0	479	553	10	62	503	201	186	275
Lancl1|Lancl1	9155	4205	6208	7725	3564	6503	8055	8405	8900	10224
Ikzf2|Ikzf2	877	167	1662	1488	1118	2254	318	1473	1353	609
Spag16|Spag16	650	933	77	261	0	0	204	42	37	167
Erbb4|Erbb4	11613	9549	11809	11839	8742	9163	11573	7658	9985	8082
Bard1|Bard1	216	0	38	39	0	227	233	88	52	153
Vwc2l|Vwc2l	2612	1313	4532	2517	2020	1658	2048	2667	4210	2456
Gm29906|Gm29906	92	226	260	246	410	124	127	82	75	67
Atic|Atic	1734	1179	950	104	681	1016	992	959	1014	1066
LOC108167627|LOC108167627	0	0	0	0	0	0	0	0	0	0
Gm4319|Gm4319	0	0	0	0	0	0	0	0	0	0
Mreg|Mreg	620	83	495	397	148	421	41	809	359	371
Fn1|Fn1	0	396	440	0	118	238	466	319	95	224
D230017M19Rik|D230017M19Rik	203	113	232	688	608	384	180	425	554	253
Pecr|Pecr	305	41	19	330	429	353	199	95	197	388
Tmem169|Tmem169	1952	1203	1370	1532	1079	1957	2167	2027	2404	1034
Gm39661|Gm39661	441	0	0	0	0	4	0	0	252	0
Xrcc5|Xrcc5	2200	179	1205	972	561	1423	486	1360	399	1805
Gm39663|Gm39663	0	0	0	0	0	0	0	0	0	0
Rpl37a|Rpl37a	2567	762	1119	1158	1385	1259	1506	1558	1192	1406
Gm30788|Gm30788	0	0	0	0	26	0	40	32	0	4
Gm30847|Gm30847	0	0	0	0	42	0	9	27	0	83
Smarcal1|Smarcal1	2027	1344	1707	3357	764	533	1400	1325	1613	1971
March4|March4	1228	1126	1592	866	1702	1031	1600	1889	2735	617
Igfbp2|Igfbp2	5417	1979	2735	2117	818	1056	2095	2931	2728	927
Gm31047|Gm31047	0	76	283	0	0	0	71	0	0	0
Igfbp5|Igfbp5	5461	1968	3903	2977	1880	1524	2065	5112	5287	1156
Arpc2|Arpc2	6684	3164	5181	2653	1220	2308	4148	5073	4131	3627
Ctdsp1|Ctdsp1	414	338	846	761	647	588	1148	263	963	506
Mir26b|Mir26b	2	2	5	5	1	2	4	1	4	2
Aamp|Aamp	4497	2743	4235	3115	3229	3358	2286	4231	3869	2808
Pnkd|Pnkd	8379	5831	8766	5739	2548	4394	4957	10126	14328	3957
Gpbar1|Gpbar1	0	0	0	0	0	0	229	83	44	0
