	FT01DA	FT02DA	FT04DA	FT01nDA	FT02nDA	FT04nDA
Ormdl1|Ormdl1	1513	1498	991	713	1284	857
Inpp1|Inpp1	3302	740	1521	1796	1541	1628
Mfsd6|Mfsd6	15531	12135	13168	7969	9429	7753
Osgepl1|Osgepl1	1718	1177	895	1102	1241	1050
Asnsd1|Asnsd1	1836	985	797	455	688	619
Dnah7a|Dnah7a	72	35	90	148	127	93
Gm32311|Gm32311	427	213	460	207	164	125
Stk17b|Stk17b	0	169	0	113	242	126
Ccdc150|Ccdc150	0	0	133	103	126	72
Gtf3c3|Gtf3c3	2041	1587	961	1214	1959	1585
Hecw2|Hecw2	1984	1665	2137	2245	2061	2270
Mir7681|Mir7681	0	6	11	5	10	8
Ankrd44|Ankrd44	1177	694	325	1951	1754	1279
4930444A19Rik|4930444A19Rik	0	42	0	65	37	55
Pgap1|Pgap1	6301	8678	7997	4214	4561	4761
Coq10b|Coq10b	2134	1007	558	574	729	562
Hspd1|Hspd1	3784	3595	4090	3962	5188	2831
Hspe1|Hspe1	2129	492	1265	804	1202	651
Mob4|Mob4	2678	1378	2198	2045	2957	2332
Mars2|Mars2	776	380	1757	511	230	419
Rftn2|Rftn2	1484	316	309	867	1085	524
Gm10561|Gm10561	85	92	93	70	177	150
Boll|Boll	29	93	11	9	17	9
Sf3b1|Sf3b1	25366	14494	17981	26702	36118	25187
1700066M21Rik|1700066M21Rik	1162	950	1157	1008	1439	1471
LOC108167625|LOC108167625	0	0	0	0	0	3
Gm39642|Gm39642	0	0	175	604	787	539
Plcl1|Plcl1	332	137	605	803	976	811
Gm6644|Gm6644	45	13	86	321	424	205
Tyw5|Tyw5	1669	1057	738	1556	2454	1391
9430016H08Rik|9430016H08Rik	824	1289	1149	519	765	656
Sgol2a|Sgol2a	33	40	0	42	72	16
Kctd18|Kctd18	1359	1123	508	1047	1081	1208
Aox1|Aox1	65	0	0	373	503	172
Spats2l|Spats2l	2930	2217	2025	1432	1424	1322
Bzw1|Bzw1	3700	1719	3905	2426	3951	2802
Ppil3|Ppil3	745	505	813	532	689	385
Nif3l1|Nif3l1	851	55	252	796	926	433
Clk1|Clk1	9956	4983	8241	18199	33675	20198
Gm20257|Gm20257	6	0	33	102	48	57
Ndufb3|Ndufb3	1591	303	795	437	1001	443
Cflar|Cflar	431	414	340	575	734	665
Orc2|Orc2	1178	928	1756	1801	2227	1398
Gm15834|Gm15834	4059	3058	3600	1975	1844	1291
Fam126b|Fam126b	8008	7861	6676	5218	9289	6090
Trak2|Trak2	2998	2309	2928	2678	2482	3059
Stradb|Stradb	1105	343	844	1640	1611	1373
Als2cr11b|Als2cr11b	0	0	52	63	41	88
Tmem237|Tmem237	2960	2132	5337	2411	2711	2336
Mpp4|Mpp4	222	446	191	91	127	159
Als2|Als2	2521	928	1262	1551	1242	1319
Gm33667|Gm33667	0	0	44	6	0	4
Fzd7|Fzd7	0	27	149	415	479	581
Gm973|Gm973	47	355	275	1365	1354	834
Gm39649|Gm39649	0	0	0	6	21	0
Gm28411|Gm28411	119	0	0	0	2	7
Gm39648|Gm39648	0	0	0	510	460	427
Gm33833|Gm33833	0	0	0	0	12	8
Nop58|Nop58	1844	2213	1257	1810	2058	2046
Snord70|Snord70	0	0	0	3	3	5
Snord11|Snord11	5	0	0	5	2	1
Sumo1|Sumo1	3000	2371	2321	1672	2938	1568
Bmpr2|Bmpr2	10218	10533	8328	3709	6010	5937
Fam117b|Fam117b	948	464	338	749	948	712
Ica1l|Ica1l	401	743	687	640	809	856
Wdr12|Wdr12	4448	3698	3170	3373	3791	2908
Carf|Carf	1456	1671	2113	1769	2939	2267
Cyp20a1|Cyp20a1	320	654	1456	2200	3004	2178
Nbeal1|Nbeal1	13649	13063	8643	7536	7829	7479
