gene_id,CRV01DA,CRV02DA,CRV03DA,CRV04DA,FT01DA,FT01nDA,FT02DA,FT02nDA,FT03DA,FT03nDA,FT04DA,FT04nDA,MN01DA,MN02DA,MN03DA
Casc4|Casc4,6925,9216,6438,4391,5506,3116,4238,4992,4773,3723,6111,4426,5668,4779,8311
Mageb3|Mageb3,0,0,0,0,0,16,0,19,0,25,0,0,0,0,0
Ctdspl2|Ctdspl2,5950,5268,4065,4630,5024,4052,2877,5886,3774,3439,5372,3872,7529,5474,6566
Catsper2|Catsper2,420,942,545,400,793,1020,500,1483,320,675,451,962,722,1153,745
Serinc4|Serinc4,14,42,164,55,0,176,0,103,52,190,37,96,0,150,1
Wdr76|Wdr76,46,271,422,481,213,588,90,1136,119,714,438,606,388,302,627
Pdia3|Pdia3,50949,105959,79577,30614,84856,29304,50258,47910,17991,16147,64993,37291,107776,29589,64296
Ell3|Ell3,507,522,554,286,883,192,790,225,30,184,643,395,665,166,315
Serf2|Serf2,3234,3063,3785,3482,5332,3500,3477,3454,1571,2672,3430,2928,3373,2725,2847
Hypk|Hypk,1398,1731,1593,1067,1877,1091,624,1873,761,817,1255,1015,1887,1527,1755
Mfap1b|Mfap1b,256,331,451,428,623,278,295,454,235,208,401,244,353,179,465
Mfap1a|Mfap1a,1063,617,1260,740,1722,692,572,1137,366,631,621,637,1254,757,1369
Spg11|Spg11,1656,2257,1796,1941,1216,2565,2475,1955,1351,2515,2412,1742,1498,1795,1715
Eif3j1|Eif3j1,999,681,1074,1001,1339,823,946,1150,418,1005,675,865,1061,934,883
Patl2|Patl2,193,133,0,42,23,28,0,0,123,13,0,0,0,0,242
Trim69|Trim69,0,0,0,0,0,3,0,9,0,0,72,0,0,0,0
B2m|B2m,3276,5957,4572,1873,12949,8456,4062,19875,1121,3300,6093,8951,5371,2653,4194
Duoxa2|Duoxa2,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
Sord|Sord,8,1025,605,212,548,646,13,607,64,565,962,580,373,371,326
Duox1|Duox1,39,140,0,0,39,32,0,16,0,15,0,26,0,0,0
Shf|Shf,157,244,467,138,455,334,27,100,170,359,90,239,308,193,226
Gm39918|Gm39918,409,385,303,308,268,305,123,399,48,295,342,173,603,412,376
Bambi-ps1|Bambi-ps1,167,195,396,449,392,108,0,106,0,26,546,114,223,240,547
Gatm|Gatm,4246,2581,3021,2582,3421,10916,266,15544,2200,7050,2056,8791,1682,1131,3019
4930417H01Rik|4930417H01Rik,18,0,14,109,113,22,0,53,131,42,6,31,16,0,106
Bloc1s6|Bloc1s6,205,1010,1032,544,372,552,584,731,1113,517,663,499,40,65,318
Bloc1s6os|Bloc1s6os,303,520,276,375,1038,101,438,205,364,81,295,73,834,324,230
Sqrdl|Sqrdl,90,459,69,20,95,192,340,366,193,177,15,135,156,233,0
Slc30a4|Slc30a4,1958,2853,2663,2252,3581,1064,722,1706,737,1366,3012,1537,3619,1944,2499
Gm34484|Gm34484,15,0,0,0,0,0,0,21,0,0,0,5,0,0,0
Sema6d|Sema6d,7703,21482,19651,9224,13858,7188,8596,7777,6870,5848,21132,9104,12074,7178,11238
4930583P06Rik|4930583P06Rik,0,0,0,17,0,3,0,7,0,5,0,0,0,89,0
4930517E11Rik|4930517E11Rik,283,222,311,242,626,238,0,211,710,186,263,160,490,357,795
LOC108168787|LOC108168787,0,127,56,59,0,37,0,98,34,73,191,43,328,176,271
Ctxn2|Ctxn2,1421,1795,1461,1669,1349,546,1408,701,828,505,1032,391,1596,2741,2392
Slc12a1|Slc12a1,23,68,328,66,23,80,74,68,44,33,259,21,0,37,38
LOC102638255|LOC102638255,19,0,44,51,0,47,0,29,0,53,0,0,0,25,0
LOC108168788|LOC108168788,261,0,32,0,0,25,0,25,0,11,5,0,0,0,0
Dut|Dut,1147,1343,778,857,1802,878,640,781,250,707,505,924,1523,952,1244
Myef2|Myef2,11232,12586,8917,10782,11160,8619,7792,16692,7444,10477,8918,13353,11670,10669,13760
Slc24a5|Slc24a5,532,1575,1421,473,1508,195,590,737,212,347,560,541,859,593,482
Cep152|Cep152,352,557,975,838,202,948,101,1001,499,740,525,784,89,379,183
Gm35029|Gm35029,122,0,58,29,0,28,0,100,0,113,73,90,0,0,0
Shc4|Shc4,89,315,405,261,523,558,0,278,10,414,0,250,0,36,48
Gm35231|Gm35231,0,56,132,0,0,93,0,40,0,80,0,106,0,14,0
Eid1|Eid1,969,877,923,684,1000,426,1021,609,376,512,880,574,864,756,1003
Fbn1|Fbn1,489,705,1202,802,257,756,100,1116,107,817,377,810,351,365,692
Secisbp2l|Secisbp2l,3253,4249,6056,3227,4554,6768,2089,8895,4547,8682,4356,7701,4230,2314,4318
Cops2|Cops2,2943,2839,2207,1894,2211,1385,2462,2259,748,1761,3786,1949,2507,1573,1345
