	FT01DA	FT02DA	FT04DA	FT01nDA	FT02nDA	FT04nDA
Gm28783|Gm28783	0	0	0	23.8644432958608	19.0724415351064	20.5501416123344
Tfap2d|Tfap2d	0	0	0	10.0964952405565	175.284819822644	82.2005664493377
Mcm3|Mcm3	0	0	0	171.64041908946	207.072222381155	171.251180102787
Tram2|Tram2	0	0	0	59.661108239652	37.2366715685411	46.9717522567644
Gm19673|Gm19673	0	0	0	39.468117758539	24.5217105451368	45.0145959127325
Col9a1|Col9a1	0	0	0	164.297513459965	123.516764227356	70.4576283851466
Gm597|Gm597	0	0	0	21.1108536847999	23.6134990434651	27.4001888164459
Neurl3|Neurl3	0	0	0	105.554268424	142.589205762462	55.7789558049077
Zap70|Zap70	0	0	0	161.543923848904	46.3187865852584	251.494590208093
Nms|Nms	0	0	0	29.3716225179825	15.4395955284195	31.3145015045096
Gm35222|Gm35222	0	86.8249183731218	0	0	0	0
Slc9a4|Slc9a4	0	0	0	13.7679480553043	37.2366715685411	265.194684616316
Col5a2|Col5a2	0	0	0	279.948277124521	210.705068387842	458.953162675469
Aox3|Aox3	0	0	0	66.0861506654606	91.729361668845	158.52966386658
Cd28|Cd28	0	0	0	10.0964952405565	41.7777290768997	40.1217050526529
Icos|Icos	0	0	0	11.0143584442434	18.1642300334347	41.1002832246688
4933402D24Rik|4933402D24Rik	0	0	0	38.550254554852	91.729361668845	75.3505192452262
Fzd5|Fzd5	0	0	0	94.5399099797562	167.110916307599	100.79355171764
Tns1|Tns1	722.581662807393	568.30855662407	908.485746870698	1565.87462548994	1350.51050298587	1211.47977695571
Prkag3|Prkag3	0	0	0	100.964952405565	48.1352095886019	19.5715634403185
Fev|Fev	109.054127177229	97.3491509031972	64.25633682981	15.6036744626782	19.9806530367781	7.8286253761274
Ihh|Ihh	0	0	0	39.468117758539	14.5313840267477	24.4644543003981
Daw1|Daw1	0	0	0	40.385980962226	11.8067495217325	34.2502360205574
A630001G21Rik|A630001G21Rik	0	0	0	39.468117758539	88.0965156621581	44.0360177407166
Spata3|Spata3	0	0	0	31.2073489253564	39.0530945718845	3.9143126880637
Nmur1|Nmur1	0	0	0	12.8500848516173	12.7149610234043	83.1791446213536
Prss56|Prss56	0	0	0	22.9465800921738	12.7149610234043	26.42161064443
Trpm8|Trpm8	0	0	0	55.9896554249042	35.4202485651976	24.4644543003981
Gm34194|Gm34194	0	0	0	50.4824762027824	8.1739035150456	13.7000944082229
Gbx2|Gbx2	0	0	0	60.5789714433389	64.4830166186931	30.3359233324937
Pdcd1|Pdcd1	0	0	0	74.3469194986432	103.536111190578	151.679616662468
Gm41928|Gm41928	0	0	0	22.9465800921738	29.0627680534955	33.2716578485414
Serpinb8|Serpinb8	0	0	0	35.7966649437912	31.7874025585107	113.515067953847
Gli2|Gli2	0	0	0	153.283155015721	122.608552725684	310.209280529048
Ctse|Ctse	0	0	0	32.1252121290434	72.6569201337387	53.8217994608759
Rab7b|Rab7b	0	0	0	116.568626868243	159.845224294225	137.979522254245
LOC105246707|LOC105246707	0	0	0	27.5358961106086	15.4395955284195	28.3787669884618
LOC108167726|LOC108167726	0	0	0	11.0143584442434	59.9419591103344	76.3290974172421
Gm38687|Gm38687	0	0	0	57.8253818322781	13.623172525076	35.2288141925733
Lax1|Lax1	0	0	0	13.7679480553043	51.7680555952888	54.8003776328918
Lad1|Lad1	0	0	0	85.3612779428867	55.4009016019757	96.8792390295766
Cacna1s|Cacna1s	0	0	0	26.6180329069216	22.7052875417933	25.443032472414
Mroh3|Mroh3	0	0	0	44.0574337769738	50.8598440936171	68.5004720411147
5730559C18Rik|5730559C18Rik	0	0	0	111.979310849808	54.492690100304	129.172318706102
Lamc2|Lamc2	0	0	0	178.983324718956	187.999780846049	153.6367730065
E330020D12Rik|E330020D12Rik	15.6912413204646	18.4174069276319	0	239.562296162295	485.893153394377	234.858761283822
Gm30388|Gm30388	0	0	0	36.7145281474781	19.9806530367781	28.3787669884618
Zfp648|Zfp648	0	0	0	112.897174053495	10.8985380200608	45.0145959127325
4930523C07Rik|4930523C07Rik	0	0	0	189.079819959512	309.700122070061	222.137245047615
Prrx1|Prrx1	0	0	0	356.130923030538	438.666155307447	411.981410418704
Sell|Sell	0	0	0	5.50717922212172	61.7583821136779	15.6572507522548
Rcsd1|Rcsd1	90.2246375926712	52.6211626503769	52.3936284919989	200.094178403756	231.593932926292	218.222932359551
Dusp27|Dusp27	0	0	0	33.9609385364173	11.8067495217325	69.4790502131307
Nuf2|Nuf2	0	0	0	33.0430753327303	31.7874025585107	33.2716578485414
Gm6345|Gm6345	0	0	0	87.1970043502606	43.5941520802432	48.9289086007962
Fcgr4|Fcgr4	0	0	0	33.9609385364173	64.4830166186931	67.5218938690988
Cd244|Cd244	0	0	0	54.1539290175302	93.5457846721885	34.2502360205574
Ly9|Ly9	0	0	0	234.97298014386	613.04276362842	160.486820210612
Slamf7|Slamf7	0	0	0	89.0327307576345	161.661647297568	66.5433156970829
LOC102639543|LOC102639543	0	0	0	11.9322216479304	81.739035150456	14.6786725802389
Pydc4|Pydc4	0	0	0	32.1252121290434	59.0337476086627	23.4858761283822
Pyhin1|Pyhin1	0	0	0	45.8931601843477	105.352534193921	26.42161064443
AI607873|AI607873	0	0	0	65.1682874617737	229.777509922948	107.643598921752
Ifi204|Ifi204	0	0	0	59.661108239652	153.487743782523	31.3145015045096
Mndal|Mndal	0	0	0	104.636405220313	233.410355929635	473.631835255708
Ifi203|Ifi203	0	0	0	60.5789714433389	123.516764227356	135.043787738198
Gm38293|Gm38293	43.1509136312775	49.990104517858	57.3364236327535	10.0964952405565	4.54105750835867	11.7429380641911
Ccdc121|Ccdc121	0	0	0	22.0287168884869	29.9709795551672	35.2288141925733
Tlr5|Tlr5	0	0	0	42.2217073695999	93.5457846721885	91.9863481694969
Gm33747|Gm33747	0	0	1.97711805630184	44.0574337769738	28.1545565518237	25.443032472414
Hlx|Hlx	0	0	0	112.897174053495	37.2366715685411	74.3719410732103
Ptpn14|Ptpn14	0	0	0	132.172301330921	170.743762314286	216.265776015519
Batf3|Batf3	0	0	0	46.8110233880346	15.4395955284195	15.6572507522548
Lamb3|Lamb3	0	0	0	48.6467497954085	29.9709795551672	22.5072979563663
Iyd|Iyd	0	0	0	67.9218770728345	45.4105750835867	36.2073923645892
Myct1|Myct1	0	0	0	8.26076883318258	44.5023635819149	55.7789558049077
Zc3h12d|Zc3h12d	0	0	0	19.275127277426	56.3091131036475	5.87146903209555
Stx11|Stx11	0	0	0	10.0964952405565	14.5313840267477	50.8860649448281
Il20ra|Il20ra	0	0	0	22.9465800921738	25.4299220468085	15.6572507522548
Platr6|Platr6	0	0	0	34.8788017401042	19.9806530367781	37.1859705366051
LOC108167355|LOC108167355	0	0	0	96.3756363871301	219.787183404559	48.9289086007962
Cenpw|Cenpw	0	0	0	19.275127277426	53.5844785986323	34.2502360205574
LOC108167804|LOC108167804	0	0	0	22.9465800921738	65.3912281203648	58.7146903209555
Ak9|Ak9	0	0	0	69.7576034802085	37.2366715685411	10.7643598921752
Nr2e1|Nr2e1	0	0	0	83.5255515355128	51.7680555952888	90.0291918254651
Prdm1|Prdm1	0	0	0	95.4577731834432	167.110916307599	34.2502360205574
LOC105245152|LOC105245152	0	0	0	39.468117758539	16.3478070300912	20.5501416123344
Lilr4b|Lilr4b	0	0	0	35.7966649437912	110.801803203951	37.1859705366051
Gm40645|Gm40645	0	0	0	137.679480553043	186.183357842705	118.407958813927
LOC108167810|LOC108167810	0	0	0	80.7719619244519	61.7583821136779	50.8860649448281
Unc5b|Unc5b	386.789098549451	88.1404474393812	433.977413358255	1810.02623767067	2660.15148839651	2547.23898175745
Adamts14|Adamts14	0	0	0	13.7679480553043	2.7246345050152	200.608525263265
Prf1|Prf1	0	0	0	5.50717922212172	91.729361668845	52.8432212888599
Pbld1|Pbld1	0	0	0	31.2073489253564	29.0627680534955	13.7000944082229
Gm34776|Gm34776	0	0	0	1311.62651806866	1834.5872333769	1019.67845524059
A330049N07Rik|A330049N07Rik	0	0	0	195.504862385321	244.308893949696	183.972696338994
Adora2a|Adora2a	0	0	0	251.494517810225	94.4539961738602	148.743882146421
Gm5134|Gm5134	0	0	0	28.4537593142956	55.4009016019757	37.1859705366051
Misp|Misp	0	0	0	28.4537593142956	33.6038255618541	30.3359233324937
S1pr4|S1pr4	0	0	0	55.0717922212172	17.2560185317629	91.9863481694969
Gm6729|Gm6729	0	0	0	37.6323913511651	30.8791910568389	24.4644543003981
Gm32749|Gm32749	0	0	0	45.8931601843477	37.2366715685411	11.7429380641911
Lum|Lum	0	0	23.7254166756221	202.847768014817	450.47290482918	549.96093267295
Gm34574|Gm34574	0	0	0	20.192990481113	67.2076511237082	28.3787669884618
E2f7|E2f7	0	0	0	43.1395705732868	11.8067495217325	8.80720354814332
Lyz1|Lyz1	0	0	0	18.3572640737391	14.5313840267477	32.2930796765255
Irak3|Irak3	0	0	0	83.5255515355128	97.1786306788754	107.643598921752
Gm38500|Gm38500	0	0	0	55.0717922212172	35.4202485651976	22.5072979563663
Gdf11|Gdf11	331.869753927825	213.115708734026	376.640989725501	98.211362794504	55.4009016019757	119.386536985943
Osm|Osm	0	0	0	31.2073489253564	27.246345050152	26.42161064443
Npc1l1|Npc1l1	0	0	0	59.661108239652	53.5844785986323	13.7000944082229
Myo1g|Myo1g	0	0	0	86.2791411465736	84.4636696554712	56.7575339769236
Gm29945|Gm29945	0	0	0	4.58931601843477	27.246345050152	40.1217050526529
Gm39608|Gm39608	0	0	0	11.9322216479304	30.8791910568389	22.5072979563663
Efemp1|Efemp1	0	0	0	601.200398414954	1319.63131192903	1270.19446727667
LOC108167893|LOC108167893	0	0	0	15.6036744626782	31.7874025585107	15.6572507522548
Gm5431|Gm5431	0	0	0	18.3572640737391	31.7874025585107	68.5004720411147
Tgtp2|Tgtp2	0	0	0	122.993669294052	430.492251792401	69.4790502131307
Ccdc69|Ccdc69	0	0	0	61.4968346470259	38.1448830702128	25.443032472414
Slc36a2|Slc36a2	0	0	0	269.851781883964	263.381335484803	218.222932359551
Gm39826|Gm39826	0	0	0	28.4537593142956	21.7970760401216	8.80720354814332
Wnt9a|Wnt9a	0	0	0	229.465800921738	33.6038255618541	285.74482622865
Nlrp3|Nlrp3	0	0	0	67.0040138691476	37.2366715685411	9.78578172015925
Slc5a10|Slc5a10	0	0	0	13.7679480553043	21.7970760401216	26.42161064443
Usp43|Usp43	0	0	0	118.404353275617	18.1642300334347	45.0145959127325
Kctd11|Kctd11	0	0	0	183.572640737391	128.966033237386	172.229758274803
2810408A11Rik|2810408A11Rik	0	0	0	33.0430753327303	29.9709795551672	46.9717522567644
Asgr1|Asgr1	0	0	0	22.0287168884869	73.5651316354104	61.6504248370033
Mgl2|Mgl2	0	0	0	78.936235517078	150.763109277508	89.0506136534492
Clec10a|Clec10a	0	0	0	47.7288865917216	80.8308236487842	62.6290030090192
Nlrp1b|Nlrp1b	0	0	0	95.4577731834432	163.478070300912	41.1002832246688
Nlrp1c-ps|Nlrp1c-ps	0	0	0	107.389994831374	79.9226121471125	17.6144070962866
Smtnl2|Smtnl2	0	0	0	102.800678812939	110.801803203951	74.3719410732103
P2rx1|P2rx1	0	0	0	54.1539290175302	8.1739035150456	72.4147847291784
Dbil5|Dbil5	0	0	0	33.9609385364173	41.7777290768997	51.864643116844
Gm30875|Gm30875	0	0	0	125.747258905113	123.516764227356	45.9931740847485
Ccl2|Ccl2	0	0	0	78.936235517078	167.110916307599	85.1363009653855
Ccl7|Ccl7	0	0	0	38.550254554852	120.792129722341	41.1002832246688
Ccl12|Ccl12	36.0898550370685	184.174069276319	60.3021007172063	281.784003531895	504.057383427812	343.48093837759
Tbx2|Tbx2	0	0	0	89.9505939613214	52.6762670969605	53.8217994608759
Pctp|Pctp	0	0	0	89.9505939613214	54.492690100304	69.4790502131307
Tmem100|Tmem100	435.431946642891	336.775440962412	313.373211923842	795.787397596589	1346.87765697918	702.619127507434
Col1a1|Col1a1	0	0	59.3135416890553	1313.46224447603	790.144006454408	1700.76886296368
Sgca|Sgca	0	0	0	30.2894857216695	29.0627680534955	13.7000944082229
Hoxb5|Hoxb5	0	0	0	46.8110233880346	31.7874025585107	13.7000944082229
Gm38970|Gm38970	0	0	0	23.8644432958608	22.7052875417933	45.0145959127325
Cdc6|Cdc6	0	0	0	34.8788017401042	34.5120370635259	33.2716578485414
Krt12|Krt12	0	0	0	34.8788017401042	16.3478070300912	27.4001888164459
LOC101056001|LOC101056001	0	0	0	322.169984494121	340.5793131269	346.416672893637
