	FT01DA	FT02DA	FT04DA	MN01DA	MN02DA	MN03DA	CRV01DA	CRV02DA	CRV03DA	CRV04DA
Gm20337|Gm20337	0	0	0	26.4686815451504	221.702923315356	116.708621877159	279.258444971075	232.141598877239	134.461691870461	7.177851559274
Gm38543|Gm38543	0	0	0	0	145.653664736251	0	37.4263895322059	0	69.1739339680406	6.15244419366343
Gm33682|Gm33682	0	0	0	31.032247328797	110.851461657678	0	0	0	65.2877579024203	0
AW209491|AW209491	7044.9316322061	9055.0986257267	5942.9432793473	4601.89973622925	5208.72972742647	5140.48429995304	3410.59970249897	4052.21321577548	3751.7143737498	5200.86615837682
Hus1b|Hus1b	0	0	0	0	0	103.976772217832	107.480913528386	0	55.9609353449317	0
A230103O09Rik|A230103O09Rik	0	0	0	93.096741986391	0	0	9.59651013646304	25.2671128029648	2.33170563937215	0
Gm31683|Gm31683	0	0	0	21.9051157615038	373.801440473565	0	0	108.174826687693	0	0
Catsper3|Catsper3	0	0	0	0	0	262.063905487802	82.5299871735822	62.3781847323194	20.2081155412253	47.1687388180863
1810034E14Rik|1810034E14Rik	0	0	0	0	0	0	142.988001033299	95.5412702862108	23.3170563937215	57.422812474192
Exoc3|Exoc3	2770.43620649772	2980.8709761709	3009.91605028476	3670.93231636534	3870.77836462798	4201.51038757772	5290.55603823208	4169.86320976429	4399.92854149525	3982.68220803146
Gm38604|Gm38604	0	0	0	126.867128785376	0	0	133.391490896836	0	16.3219394756051	15.3811104841586
3110070M22Rik|3110070M22Rik	0	0	0	169.764647151654	5.15588193756641	217.50243168016	0	111.333215788064	11.6585281968608	91.2612555393408
Mmrn2|Mmrn2	0	0	0	196.233328696805	381.535263379914	536.859660634931	174.656484483627	275.569449007335	214.516918822238	28.711406237096
Cdhr1|Cdhr1	0	0	0	83.9696104190978	101.828668266937	0	43.1842956140837	324.52448006308	73.0601100336608	11.2794810217163
4930563I02Rik|4930563I02Rik	0	0	0	0	0	0	345.47436491267	0	0	23.5843694090431
Arl11|Arl11	0	0	0	0	208.81321847144	0	177.535437524566	33.1630855538913	0	0
Gm35679|Gm35679	0	0	0	0	0	85.9399852004533	109.400215555679	0	58.2926409843039	0
Samd12|Samd12	2579.68486113231	2606.34473431066	2110.6919094053	1779.79065562218	1655.03810195882	1536.30985889205	1294.56921740886	960.150286512663	1347.7258595571	1714.48111530087
Col22a1|Col22a1	0	0	0	0	42.5360259849229	0	124.75463177402	81.328519334543	171.768982100415	43.067109355644
