	FT01DA	FT02DA	FT04DA	MN01DA	MN02DA	MN03DA	CRV01DA	CRV02DA	CRV03DA	CRV04DA
Cfap46|Cfap46	844.755958046847	781.008647701724	458.519921678894	24.6432552316917	225.569834768531	87.0009726720639	323.402391598805	398.746623921789	565.049999941185	207.132287853335
Bet1l|Bet1l	1471.51037853322	1164.48261547671	1262.10187030632	2479.84164683357	2593.4086145959	2618.5170799348	2131.38490130844	1935.30292125209	1485.29649228006	2258.97242644009
Ric8a|Ric8a	1320.120421894	1344.71538033096	1363.3700738673	346.830999557143	871.344047448724	389.382402081066	1936.57574553824	1625.78078941577	2257.09105891224	2167.71117090075
Slc25a22|Slc25a22	2104.32039728516	1517.2786658297	4199.81744212631	111.351005120977	717.956559806123	567.628297311636	1611.25405191214	2240.87706671294	2957.37998593702	1180.24387781777
Ifitm10|Ifitm10	1821.97812815301	2193.47109567293	1933.47255317358	673.582309666241	987.351391043968	830.753190271049	1511.45034649293	2302.46565417017	1823.39380998902	1064.37284550377
Tssc4|Tssc4	4672.65101166952	2331.52172407192	3239.64484539996	1762.44910564432	1323.77268747018	2288.54997626392	3662.0282680743	3376.31794829618	3483.568225222	3266.94786683528
Tpcn2|Tpcn2	0	0	0	457.269291521391	28.3573506566153	27.5856742618739	269.661934834611	364.004343817712	238.611210429084	54.3465903773603
1810010D01Rik|1810010D01Rik	261.90462498585	140.607121517495	0	0	0	0	125.714282787666	12.6335564014824	0	39.9908872588123
Gm26578|Gm26578	32.5488406774323	0	6.56367986043406	522.071925649173	33.5132325941817	166.575033042854	207.284618947602	206.084888799182	72.2828748205368	110.743995485942
LOC108167591|LOC108167591	293.696515880087	737.548264687226	366.628403632817	74.8424788518045	58.0036717976221	81.6960353140112	384.820056472168	195.030526947885	197.417744133509	545.516718504824
Tex15|Tex15	1211.87660289696	1725.63285498744	975.175293550204	0	170.144103939692	23.3417243754318	543.162473723808	71.8533520334312	68.3966987549165	309.673024414392
Sgcz|Sgcz	3347.23194129315	4678.38240685485	3805.99665050027	1781.61608193564	1691.12927552178	1186.18399326058	3669.70547618347	3109.43406931486	2480.15756507885	3653.52644367046
Gm40493|Gm40493	165.01505273675	394.978186808237	225.97812090923	52.9373630903008	81.205140516671	32.8906116199266	243.751357466161	149.233884992511	222.289270953479	288.139469736571
Fgf20|Fgf20	1725.08855590391	1013.64952148522	1753.44019128739	330.402162736015	247.482333003188	821.204303026554	796.510341326433	709.847950308293	561.941059088689	536.288052214329
Stox2|Stox2	4581.81703768599	3472.99590148214	3757.23788582276	1610.02600847053	2229.91893799747	2024.3640958329	3454.7436491267	3447.38170305451	5583.65777108319	3642.24696264875
Gm33153|Gm33153	110.514668346631	0	0	0	0	0	18.2333692592798	31.583891003706	0	5.12703682805286
Gm39178|Gm39178	0	0	15.9403653753399	168.851933994925	283.573506566153	577.177184556131	50.8615037232541	166.605025044549	94.8226960011343	144.582438551091
Slc18a1|Slc18a1	875.033949374691	982.971604063218	911.413832048844	104.962013023872	194.634543143132	283.283654920013	511.49399027348	816.443582445801	645.105226892963	629.600122484891
D130040H23Rik|D130040H23Rik	457.197669050444	242.866846257492	290.67725096208	784.020601630489	747.60288094713	1350.63705136021	269.661934834611	271.621462631872	359.082668463312	595.761679419742
Gm33746|Gm33746	53.7434346069231	172.563285498744	13.1273597208681	0	1.2889704843916	0	0	36.3214746542619	13.2129986231089	64.600664033466
Armc6|Armc6	1961.25688826109	1680.8942254137	943.294562799524	506.555801984775	644.485242195801	474.261399809909	916.466718032221	1015.42209576915	1161.18940840733	1398.65564669282
Sugp2|Sugp2	2659.92153815109	2564.16259785542	2178.20404511262	1227.59919580094	791.427877416444	390.443389552677	2875.11443688433	3159.1786976457	2191.80330100982	3036.2312095729
Homer3|Homer3	348.196900270206	0	410.698825552874	0	0	0	269.661934834611	585.881178118747	34.1983493774583	61.5244419366343
Cers1|Cers1	14916.4524276623	14712.617896967	20465.5538048334	5284.60917746278	4016.43202936423	2287.48898879231	7973.74027238714	23280.4860588317	20640.2583197223	8157.11559343209
Tmem59l|Tmem59l	71687.6861673698	64738.0752397734	76334.6591082967	35156.7980840568	19524.0359270796	19712.0862350521	61088.5045756828	86697.7808051731	75698.823582217	42459.0427878369
Abhd8|Abhd8	4898.22204706196	3147.0430288734	4460.48929944069	2052.69188948425	2454.19980228161	1451.43086116321	4320.34886343566	4706.78935682729	5000.73136124015	4332.34611970466
Bst2|Bst2	1331.47466864194	548.367773918232	1001.43001299194	187.106197129511	97.9617568137618	246.149093413644	99.8037054192156	288.99260268391	187.313686362896	216.36095414383
Fcho1|Fcho1	6839.04129117676	2550.10188570367	3521.88307939862	345.918286400414	1740.11015392866	215.380456736939	5504.5582142752	3186.81460227394	4546.04876156258	8423.72150849084
Klf2|Klf2	150.633006856024	0	288.801913859099	0	0	0	26.8702283820965	11.0543618512971	58.2926409843039	0
Sin3b|Sin3b	2372.28062053658	3356.67546459039	2492.32300986196	1267.75857469703	974.461686200052	1331.53927687122	3531.5157302184	2418.53645360879	3143.91643708679	3437.16548952663
Lsm6|Lsm6	1267.89088685347	455.055775092985	1183.33771198111	2482.57978630376	1577.69987289532	3585.076666572	1688.02613300385	1751.3267561555	1465.08837673884	1213.05691351731
Gm4890|Gm4890	262.661574769046	224.971394427993	211.913092636871	81.2314709489098	55.4257308288389	19.0977744889896	334.91820376256	178.448984170939	212.96244839599	118.947254410826
Inpp4b|Inpp4b	4163.98075736174	2541.15415978892	1246.16150493098	840.608817347707	1179.40799321832	1030.21883493383	3713.8494228112	2165.07572830405	2627.05502035929	3325.39608667508
Klf1|Klf1	0	0	0	0	0	336.33302850054	74.8527790644117	0	41.1934662955747	27.6859988714854
Junb|Junb	1240.64069465841	1965.94320812644	965.798608035298	341.354720616767	273.26174269102	449.858687962867	972.126476823706	1006.73652574313	1725.46217313539	1352.51231524034
Gm34412|Gm34412	92.3478735499241	374.526241860238	0	0	0	0	0	5.52718092564856	40.4162310824507	13.3302957529374
Papd5|Papd5	771.331829076825	678.748922961728	764.199869464823	1982.41297641609	1657.6160429276	1331.53927687122	1547.91708501149	743.011035862184	1678.82806034795	1458.12927389823
Nkd1|Nkd1	0	602.05412940673	0	0	0	0	245.670659493454	110.543618512971	314.780261315241	0
Gm39223|Gm39223	0	0	123.772248796757	0	0	0	44.14394662773	53.6926147063003	34.1983493774583	0
Cx3cl1|Cx3cl1	38524.2022659823	31086.956320959	49467.6421024371	16008.0760558756	8279.05742124727	12429.4682299174	21543.2056053459	50085.734353677	52264.4046713137	16019.939272934
Zfp319|Zfp319	0	858.981687815972	321.620313161269	0	0	5.30493735805267	0	329.262063713635	521.524828006238	283.012432908518
Mmp15|Mmp15	3796.86011251163	2150.01071265843	3278.08925601107	1053.27098286564	904.857280042905	742.691230127374	2426.9574135115	3719.00316568639	5443.75543272086	1844.70785073342
Katnb1|Katnb1	1388.24590238165	811.686565123723	1115.82557627379	568.620296642369	287.440418019327	531.554723276878	1256.18317686301	1519.97475455335	1329.07221444213	1247.92076394807
Kifc3|Kifc3	1096.06328606795	1866.23997650494	975.175293550204	31.9449604855263	489.808784068809	98.6718348597797	1462.50814479697	1098.32980965388	903.924552863272	1677.56645013889
Slc38a7|Slc38a7	6129.02239453882	4467.4717245786	6389.27350985681	1587.20817955229	2293.07849173266	2602.60226786064	3422.11551466272	5365.31348425456	3520.87551545195	3219.77912801719
Ndrg4|Ndrg4	25212.4833786957	22659.476755824	27369.6073494586	13969.0748637423	12291.6225391583	9303.79913855278	21983.6854206095	36656.2638989012	29588.5673284195	19769.8540089718
Cdh5|Cdh5	0	60.077588284748	538.221748555593	0	0	0	87.3282422418137	5.52718092564856	80.8324621649013	0
Pdp2|Pdp2	1912.05515235335	1940.37827694144	2621.72126996766	4518.84283896688	3570.44824176474	6411.54729094246	2272.45360031445	3822.44040872352	2227.55612081353	1679.61726487012
AI225912|AI225912	0	2.55649311849992	0	11.8652710374812	389.269086286264	9.54888724449481	66.215919941595	90.0140893605622	66.8422283286684	3.07622209683171
B3gnt9|B3gnt9	312.620260459989	677.470676402478	536.346411452612	0	0	0	271.581236861904	0	79.2779917386532	139.455401723038
Fhod1|Fhod1	0	0	0	381.514099512857	0	9.54888724449481	109.400215555679	48.9550310557444	44.3024071480709	18.4573325809903
Slc9a5|Slc9a5	3171.61959159166	2311.06977912392	2029.11474542562	247.345265473647	1060.82270865429	1085.39018345758	2021.02503473912	2944.4082388205	4380.49766116715	1958.52806831619
Fam65a|Fam65a	734.241289700216	1765.25849832419	2044.11744224947	134.168834039211	393.135997739439	658.873219870142	1562.31185021618	1433.11905429316	1838.93851425151	1203.82824722681
Ctcf|Ctcf	463.253267316013	617.39308811773	450.080904715479	1594.50988480613	2193.82776443451	1380.34470056531	971.16682581006	1137.80967340851	1085.7975927343	1246.89535658245
Sntb2|Sntb2	773.602678426413	1443.1403653932	1692.4917354405	357.783557437895	781.116113541311	532.615710748488	1141.02505522546	1050.95397314832	1325.18603837651	1125.89728744041
4930517G24Rik|4930517G24Rik	40.1183385093933	0	15.9403653753399	0	0	0	112.279168596618	0	0	0
Dhx38|Dhx38	1112.71618129827	388.586954011987	610.422227020368	242.78169969	38.6691145317481	107.159734632664	344.514713899023	183.976165096588	580.594704203666	499.373387052348
LOC108167554|LOC108167554	0	0	0	0	134.052930376727	293.893529636118	0	0	226.952682232223	0
Gm39256|Gm39256	245.251729755536	0	0	0	0	0	34.547436491267	22.8983209776869	130.575515804841	319.927098070498
Cdh13|Cdh13	19304.4903208501	14108.0072744418	24570.6667232592	36012.0103119122	40028.9783927812	56778.7445432378	14648.1130722972	24086.6648767013	23376.126269919	10968.7825899363
Osgin1|Osgin1	0	0	0	0	0	201.587619606002	9.59651013646304	142.127509516677	113.476341116111	46.1433314524757
Mbtps1|Mbtps1	4880.81220204845	6861.62753005378	6174.54741156547	3677.32130846244	2342.05937013954	3463.06310733679	3242.66077511086	5342.41516327688	4213.39209034548	4474.87774352453
Atp2c2|Atp2c2	0	0	250.357503247985	0	0	0	148.745907115177	52.9030174312076	154.669807411686	3.07622209683171
Cotl1|Cotl1	1250.48104183996	1689.84195132844	1681.23971282261	899.022459378384	288.729388503719	473.200412338299	1168.8549346212	790.386872367744	1086.57482794742	1006.95003302958
Jph3|Jph3	3468.34390660453	2478.52007838567	7474.15602393142	509.293941454963	116.007343595244	531.554723276878	4923.00970000554	6453.37852933224	7097.71196624884	2341.00501568893
Cbfa2t3|Cbfa2t3	112.028567913023	159.780819906245	160.341322304889	439.015028386805	427.938200818012	457.285600264141	169.858229415396	310.311729111412	162.442159542927	402.985094684954
Gm35466|Gm35466	572.254036096251	0	231.604132218173	0	0	0	267.742632807319	147.654690442326	84.7186382305216	267.631322424359
Ankrd11|Ankrd11	2273.87714872108	3273.58943823914	4614.26694188515	4456.77834430929	12572.6181047557	9180.72459184596	1789.74914045036	3218.39849327765	3483.568225222	1694.99837535427
Zfp276|Zfp276	2574.38621264993	2173.01915072493	1740.31283156652	468.221849402143	397.002909192614	489.115224412457	1202.44272009882	1426.01267881733	1114.55529561989	1441.72275604846
Ccsap|Ccsap	1161.16096742282	359.187283149238	767.012875119295	248.257978630376	234.592628159272	109.281709575885	766.761159903397	742.221438587092	303.12173311838	550.643755332877
Trim67|Trim67	703.963298372372	1076.28360288846	873.907089989221	84.8823235758271	113.429402626461	240.844156055591	503.81678216431	878.82176717812	913.25137542076	714.708933830568
Irf2bp2|Irf2bp2	666.115809212567	497.237911548234	1135.51661585509	2310.07699968192	1255.45725179742	2044.5228577935	973.086127837352	1027.26605489554	589.921526761155	1159.73573050556
LOC108167576|LOC108167576	2463.8715443033	4098.05846895537	2301.03862535788	602.390683441354	1764.6005931321	795.740603707901	2245.58337193235	1884.76869564616	2087.6537824512	2154.38087514781
LOC108167638|LOC108167638	0	0	199.723401467494	0	0	0	21.1123223002187	38.6902664795399	0	46.1433314524757
Gm32710|Gm32710	134.737061408906	81.8077797919973	0.93766855149058	0	0	0	0	38.6902664795399	15.544704262481	32.8130356995383
Gm34069|Gm34069	0	0	180.970030437682	0	0	0	264.86367976638	60.7989901821341	10.1040577706127	83.0579966144563
Gm34156|Gm34156	560.89978934831	1092.90080815871	385.381774662629	74.8424788518045	79.9161700322794	213.258481793718	39.3456915594985	75.0117411338018	246.383562560324	230.716657262379
