	x	y	pval	padj
Mroh3|Mroh3	DA	nDA	1.08737403054281e-05	0.000176974765193691
5730559C18Rik|5730559C18Rik	DA	nDA	7.58261495316916e-08	2.27095174341978e-06
Lamc2|Lamc2	DA	nDA	4.22158661767633e-12	3.45335236639247e-10
E330020D12Rik|E330020D12Rik	DA	nDA	5.67769904259994e-05	0.000728333505622694
Gm30388|Gm30388	DA	nDA	0.00130153068195495	0.00997148952967765
Zfp648|Zfp648	DA	nDA	0.000187205304653961	0.00198774225747503
4930523C07Rik|4930523C07Rik	DA	nDA	1.36507579378973e-13	1.5505987889768e-11
Prrx1|Prrx1	DA	nDA	1.2767306888126e-17	3.00965235385362e-15
Sell|Sell	DA	nDA	0.00568018374895222	0.0324203770706273
Rcsd1|Rcsd1	DA	nDA	0.000246825277942295	0.00249706994385276
Dusp27|Dusp27	DA	nDA	0.000696681049984301	0.0059871966518251
Nuf2|Nuf2	DA	nDA	0.000464733139701437	0.00426539117765795
Gm6345|Gm6345	DA	nDA	7.42045766073313e-06	0.000127491138946906
Fcgr4|Fcgr4	DA	nDA	1.41614534513561e-05	0.000224646558620897
Cd244|Cd244	DA	nDA	1.08609163262692e-05	0.000176897376389895
Ly9|Ly9	DA	nDA	1.54360913642534e-12	1.37563183324604e-10
Slamf7|Slamf7	DA	nDA	4.08387267220046e-08	1.32834926695327e-06
LOC102639543|LOC102639543	DA	nDA	0.00168259548734714	0.012259069747129
Pydc4|Pydc4	DA	nDA	0.000292583074396411	0.00288605261375685
Pyhin1|Pyhin1	DA	nDA	3.02194420069639e-05	0.000428525761396293
AI607873|AI607873	DA	nDA	1.5532525022119e-08	5.63974281631574e-07
Ifi204|Ifi204	DA	nDA	4.57972393028438e-06	8.3598074707431e-05
Mndal|Mndal	DA	nDA	2.69448454956316e-11	1.87527570730391e-09
Ifi203|Ifi203	DA	nDA	2.77861595083264e-08	9.37163038309291e-07
Gm38293|Gm38293	DA	nDA	0.0030160739351659	0.0195973292473747
Ccdc121|Ccdc121	DA	nDA	0.00106221917427276	0.00847417429315204
Tlr5|Tlr5	DA	nDA	1.03041322452936e-06	2.24104653981719e-05
Gm33747|Gm33747	DA	nDA	0.00244837884116228	0.0165614962464674
Hlx|Hlx	DA	nDA	2.15425264493264e-06	4.30909495756006e-05
Ptpn14|Ptpn14	DA	nDA	1.27476506406598e-11	9.57077893819125e-10
Batf3|Batf3	DA	nDA	0.00321825635415208	0.0206418472943464
