	x	y	pval	padj
Endog|Endog2	Maintenance	Craving	0.000197425450745284	0.00618963511155691
Fam73b|Fam73b2	Maintenance	Craving	2.07189281299194e-07	1.34185528653184e-05
Ptpa|Ptpa2	Maintenance	Craving	0.000705056543973048	0.0170497975885575
Usp20|Usp202	Maintenance	Craving	0.00235676556056793	0.043848490056809
Fubp3|Fubp32	Maintenance	Craving	0.000593151870052564	0.0150646411925432
Plpp7|Plpp72	Maintenance	Craving	0.000712729014229915	0.0171687888794611
Slc25a25|Slc25a252	Maintenance	Craving	2.05143295984756e-05	0.000888811821978399
Angptl2|Angptl22	Maintenance	Craving	7.63399101204459e-13	2.30460338342643e-10
C130021I20Rik|C130021I20Rik2	Maintenance	Craving	0.00214221544085036	0.0405542140463149
Rab14|Rab142	Maintenance	Craving	0.000436524626828295	0.0117560164609283
LOC108168747|LOC1081687472	Maintenance	Craving	7.29710561453742e-09	6.86331285363301e-07
Adgrd2-ps|Adgrd2-ps2	Maintenance	Craving	1.04712325946907e-11	2.51269308301059e-09
Kif5c|Kif5c2	Maintenance	Craving	0.00103578088407722	0.0232176177332614
Pkp4|Pkp42	Maintenance	Craving	0.000336924599020482	0.00959850490086206
Ifih1|Ifih12	Maintenance	Craving	0.00024920088170597	0.00752305306917847
Stk39|Stk392	Maintenance	Craving	0.00015416897648778	0.00510722253614474
Mtx2|Mtx22	Maintenance	Craving	0.000739435310425552	0.0177436034682501
Ttn|Ttn2	Maintenance	Craving	0.000293648094293558	0.0086147513807093
Tfpi|Tfpi2	Maintenance	Craving	0.000338300849753226	0.00960846282978926
Rtn4rl2|Rtn4rl22	Maintenance	Craving	5.4185387093044e-14	2.3585764888849e-11
Chrm4|Chrm42	Maintenance	Craving	0.000872433614007371	0.020360773009197
Cry2|Cry22	Maintenance	Craving	0.00169598737801341	0.0342805569700616
Alx4|Alx42	Maintenance	Craving	6.02208673115469e-09	5.72159377396053e-07
Slc1a2|Slc1a22	Maintenance	Craving	0.00148804900563679	0.0309121123623794
Arhgap11a|Arhgap11a2	Maintenance	Craving	9.35415733474864e-13	2.77907560054746e-10
1700054M17Rik|1700054M17Rik2	Maintenance	Craving	0.00181383966052559	0.0361210950352598
Vps18|Vps182	Maintenance	Craving	0.00187553799787342	0.0369520470591546
LOC108168839|LOC1081688392	Maintenance	Craving	2.44047593268342e-05	0.00103814518254626
Frmd5|Frmd52	Maintenance	Craving	8.3038920174359e-06	0.000390512429372733
Mrps5|Mrps52	Maintenance	Craving	1.64907524978691e-05	0.000734898605958611
Acoxl|Acoxl2	Maintenance	Craving	0.00189513621271535	0.0372206343057641
Ebf4|Ebf42	Maintenance	Craving	0.000243495854874656	0.00738656712429324
Lzts3|Lzts32	Maintenance	Craving	0.00127577887727853	0.0274145778382132
Lrrn4|Lrrn42	Maintenance	Craving	0.00129122565372204	0.027607994909469
Ankef1|Ankef12	Maintenance	Craving	5.07420406968077e-06	0.000252590099926104
